en,hu,zh,mean_hu,mean_zh,mean_difference,t_stat,p_value
hairdresser,fodrász,理发师,1.0,-0.75,1.75,7.312199986209629,5.736293580683683e-09
housekeeper,házvezető,家政员,1.7727272727272727,0.5,1.2727272727272727,5.02978833658533,1.0004430519424787e-05
flight attendant,légiutas-kísérő,乘务员,1.4545454545454546,0.4583333333333333,0.9962121212121213,4.587243492317245,4.2224352777094545e-05
farmer,földműves,农民,-1.5,-0.5416666666666666,-0.9583333333333334,-4.2781625152861,0.00010022756010441321
soldier,katona,军人,-1.8636363636363635,-1.0,-0.8636363636363635,-4.086543426949811,0.00018377507992935004
secretary,titkár,秘书,-0.22727272727272727,0.9583333333333334,-1.1856060606060606,-4.1510978520833826,0.00027213533034765327
beautician,kozmetikus,美容师,2.272727272727273,1.4583333333333333,0.8143939393939397,3.909668943020703,0.00032029067250357766
nurse,ápoló,护士,0.4090909090909091,1.5833333333333333,-1.174242424242424,-3.9807363561096287,0.00047213808622151873
pilot,pilóta,飞行员,-1.6818181818181819,-1.0,-0.6818181818181819,-3.187230903160563,0.0027355909214501583
model,modell,模特,1.0454545454545454,0.3333333333333333,0.7121212121212122,3.1852388548500588,0.003047683657907094
receptionist,recepciós,前台,0.6818181818181818,1.375,-0.6931818181818182,-2.611683272919604,0.012377257383991865
dietitian,dietetikus,营养师,0.6818181818181818,0.20833333333333334,0.4734848484848484,2.5905666645901735,0.013066555155085565
waiter,pincér,服务员,-0.5,0.08333333333333333,-0.5833333333333334,-2.6311472364382262,0.01372319612133357
firefighter,tűzoltó,消防员,-2.272727272727273,-1.7916666666666667,-0.4810606060606062,-2.1860799100448998,0.03429839325138778
teacher,tanár,教师,0.0,0.5416666666666666,-0.5416666666666666,-2.113894473236767,0.041660361580766296
gardener,kertész,园丁,-0.9090909090909091,-0.4166666666666667,-0.4924242424242424,-2.073820206781514,0.04500389931624605
doctor,orvos,医生,-0.5454545454545454,-0.20833333333333334,-0.33712121212121204,-2.0543396200526125,0.04627231293429205
